Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA_E,ISA_E_pred,Erro
2014,7,0.0013236851879058211,0.0014228487432892728,0.0013423056363430622,-0.000673595067476878,90.7,90.05164191904038,0.5688946371700264
2014,8,0.005042101993773706,0.004968895639707197,0.005077327655345082,-0.0038188771021879157,89.3,88.78692643938709,0.12863973689269734
2014,9,0.004811547420950793,0.004887507612826352,0.004730225048612989,-0.0031608006058906376,88.3,88.06366819431439,0.04925189412033271
2014,10,0.0048437680072459756,0.004830967237612592,0.004763656083158753,-0.003323132770407304,87.4,87.20743554391265,0.22418161062645137
2014,11,0.004854868606217065,0.004892108836694337,0.004769336394846553,-0.0032419756375535055,87.0,87.06789412670184,0.06602486136143995
2014,12,0.00506683928586822,0.0048344866845629044,0.004711360819167874,-0.0031997294911563293,86.3,86.97540125944478,0.09825341064563847
2015,1,0.004891886710459466,0.004925154426188623,0.004860173003022629,-0.0033961399952707238,84.6,86.44257794505792,0.09936656546755261
2015,2,0.0013683756495425498,0.0014523393292864082,0.0014726579161412623,-0.0009449818845826409,82.1,84.76561467786287,0.4041494085650462
2015,3,0.00146127604171972,0.0015127429481757314,0.001631518025081036,-0.0012293580363262019,77.4,82.70426235050945,0.8239933050992118
2015,4,0.001449300561103097,0.0014762338987799667,0.0015336190085413306,-0.0010527530882496307,76.2,76.56141826902231,0.21307953076220348
2015,5,0.0014286731152466042,0.0014430402869120692,0.0015340380843522454,-0.0011167128610473124,74.9,75.96489616527289,0.24746287951060214
2015,6,0.0014079885177214824,0.0014266713778883573,0.0015248885122026007,-0.001124762848940113,73.1,76.52116195085836,0.317546822615015
2015,7,0.0013539629534190835,0.0014128005826456365,0.0014621502650178154,-0.000993532954261157,72.6,76.75852228721482,0.6583466663669716
2015,8,0.001430887531980286,0.001468300121642353,0.001571218157735592,-0.001162189452237452,69.7,71.80965780232286,0.515865960624424
2015,9,0.0014120326190876233,0.0015230549795841695,0.0015534389814308098,-0.0010137812675190695,69.1,70.74270605052686,0.5669248596222289
2015,10,0.0013981960445834528,0.0015220987388231838,0.0014879225692137805,-0.0008511009121053608,67.1,76.13946906413535,1.0059769969927612
2015,11,0.0015114405230842963,0.0015382061585904726,0.001625027229373573,-0.0011648043848637606,67.7,73.84139461230149,1.2782190518985697
2015,12,0.0013601111716232605,0.0013952766885893385,0.0015080293348132547,-0.0011419327018401056,67.4,71.45490781706586,1.0152527852849869
2016,1,0.0014911528392626966,0.001615101485055709,0.0016303195042234636,-0.001032361892008393,68.9,77.14657737464981,1.0369831752969791
2016,2,0.0015000452131392352,0.0015459935269711402,0.0016898704496598152,-0.0013128483916213353,68.0,71.96439835469245,0.8054789918188149
2016,3,0.0013725663949499254,0.0013710176477294987,0.0014903067315230913,-0.0011434114648318453,69.8,72.52153098834256,1.2470607819894186
2016,4,0.0013606593582630262,0.0014511156776214672,0.0014576564635063775,-0.0009096366439410986,69.2,74.67356690957115,0.13514179038175567
2016,5,0.0013890583339114478,0.001329543188500478,0.0014326903858317972,-0.00107735485478979,70.0,73.82415491997655,1.2890888805757919
2016,6,0.001308379248719014,0.0013426698896016383,0.0014222624410163726,-0.0010262959746509626,72.0,76.4840135209216,0.23873586364292834
