Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IBC_BR,IBC_BR_pred,Erro
2016,2,0.0014219600526734328,0.001468762988591668,0.0015418973272324182,-0.0011064606968826261,135.47078937184958,135.9250768713021,0.14647812956576345
2016,3,0.0014078434097411195,0.0014468687035522562,0.0015204354428694248,-0.001093132091906314,135.11277860075293,135.7165237236983,0.1877264520549386
2016,4,0.0013956674329154116,0.0014271365406354132,0.0014990041769763764,-0.001075361060760103,134.8551277060999,135.1490022338615,0.13875954071260557
2016,5,0.0013842294192907422,0.0014103105409155902,0.001475940588372406,-0.0010484645003939225,134.64918584665767,134.72811746320102,0.17080746481578551
2016,6,0.001378047278468737,0.001404976575295128,0.0014605532419835958,-0.0010127768245377304,134.45708160178074,134.23489168666902,0.15132418999513128
2016,7,0.0013797213015197508,0.0014125016755050367,0.0014571425848228065,-0.000983244320344134,134.25623885854273,134.21313510672104,0.01711971683844318
2016,8,0.0013800314722863822,0.001419281153850007,0.0014539900121357558,-0.000957705678664173,134.01258545996427,134.26627945196364,0.08638277784539139
2016,9,0.001373852046725953,0.0014205591657952198,0.0014463533068207275,-0.0009320364193817911,133.694090717295,133.88161631476638,0.12466141648247153
2016,10,0.0013608513485511428,0.0014122218526506627,0.0014306513343431324,-0.000907004888597123,133.42088859895514,134.30463013159158,0.2436597343968563
2016,11,0.001342010276768956,0.0013950738979777392,0.0014094065562432665,-0.0008865639630122835,133.40202986192583,134.94094040186422,0.26815538640246306
2016,12,0.0013245865159226056,0.0013777322020695744,0.0013904531210540737,-0.0008732124744802982,133.70428064491088,135.22786776802602,0.23057336054073102
2017,1,0.0013125636656656251,0.0013628540387216968,0.0013758472018212983,-0.0008597939570577036,134.16874913255853,135.13958347089468,0.6804393531177835
2017,2,0.0013091562607748946,0.0013586333398295579,0.0013671670407226686,-0.0008324823082858768,134.6827592697103,136.36596265383832,1.221459355704451
2017,3,0.0013136998101595711,0.0013713390585036733,0.0013668294823917682,-0.0007991314972339844,135.20077916460258,135.8803297999576,1.1627308049262897
2017,4,0.0013235303133221107,0.00138981933721368,0.0013746792181546959,-0.000783633331753268,135.58030122870628,135.83799444396888,0.5763910974919653
2017,5,0.001338583938274607,0.0014122715063107955,0.001392023920283602,-0.0007836732189492765,135.74315396774674,136.0492040448567,0.08579162033558109
2017,6,0.00135300164135754,0.0014298749435317937,0.0014117397520276905,-0.0007951068272176736,135.72913254069073,135.7329459110907,0.024799847244005864
2017,7,0.0013595628701696435,0.0014375046253139235,0.0014235008825412118,-0.000813732976035295,135.6733954829708,135.6651286203635,0.042164978716419575
2017,8,0.001358597177894386,0.0014366048530119796,0.001427374519583303,-0.00084106255804326,135.6248275443329,135.6597478652599,0.04776389832547903
2017,9,0.0013529678833092062,0.0014318332972622823,0.0014193111716724943,-0.0008434504254189113,135.57221470370231,135.72862202391926,0.02375381029565703
2017,10,0.0013490804100950015,0.0014321559599318665,0.0014010765945876441,-0.0008000434256263898,135.72702969764256,135.81070419489936,0.02834843105099746
2017,11,0.0013461262158861202,0.001433967728762139,0.001377636295250612,-0.0007441027207478445,136.0576801200724,135.9486560653825,0.02839385257894785
2017,12,0.0013424058910110573,0.0014327864059623966,0.0013540610447856755,-0.0006969386590238912,136.39348606792424,136.12953342418024,0.08449934235388068
2018,1,0.0013391112385259074,0.0014271971701445751,0.0013342468166599275,-0.0006614467011066344,136.7668591102182,136.5134908140934,0.010220992896348586
2018,2,0.0013361756263366592,0.001412794331520578,0.0013210985723752801,-0.0006510843201539304,137.1364302761948,136.66444982402513,0.15809993924742016
2018,3,0.0013358363831574404,0.0013931888381205353,0.0013194708042116392,-0.0006802690759431803,137.34689808195444,136.48044978914055,0.04814126790099595
2018,4,0.0013417418852725903,0.0013763885754204228,0.0013318146817536455,-0.0007516871334246113,137.44353884408196,136.96091428847146,0.22639407264098546
2018,5,0.0013480811124169571,0.0013614333112622833,0.0013436412900850437,-0.0008174307842278316,137.6240414550255,137.76829815562607,0.1362443266723482
2018,6,0.0013528420358454038,0.001351668260448451,0.0013525514209604464,-0.0008652923273819519,137.8172126294781,137.82505613446358,0.24386469196092986
2018,7,0.0013630317210475387,0.0013577389995353493,0.0013660220566725462,-0.0008970118533885005,137.8226043811833,137.56357376302012,0.21909261574141045
2018,8,0.0013763482537487177,0.0013768326438538658,0.0013768132062843914,-0.0008946007661327378,137.76627755133362,136.45473761208294,0.31290025867696475
2018,9,0.0013862746030170986,0.0013938464683887766,0.0013773924962492375,-0.0008630666739585345,137.80168984213046,137.49896790099157,0.26997798611613943
2018,10,0.0013874543670618087,0.0014018200041131417,0.0013689494209081366,-0.0008205998241653267,137.90643614096,137.82334588430857,0.17727052798979098
2018,11,0.0013841950617514344,0.0014103128402164883,0.0013600206925377409,-0.0007737238810780641,138.0160456396335,137.36069422349553,0.3691962496464346
2018,12,0.0013864988069195786,0.0014329419891778723,0.0013601403690045057,-0.0007220136750700417,138.09609540929117,137.55954080729896,0.27509991583396476
2019,1,0.0013908040680475678,0.001463276332502547,0.001358686599176535,-0.0006523357256143047,138.16017411457003,137.8205088153132,0.1922115402219336
2019,2,0.0013913567956193437,0.0014850191828959544,0.001354957381886659,-0.0005921002594816124,138.20663213835093,137.77149787255226,0.22211914882486944
2019,3,0.001394862282836339,0.00150557811405771,0.001358890369955223,-0.0005581827660047947,138.22689834878804,138.02293815821832,0.08683338660646761
2019,4,0.001402545127888869,0.0015310608400954631,0.0013680087997366005,-0.0005328102331812676,138.2881324024416,138.38717923624213,0.1025361269645965
2019,5,0.0014127298436957991,0.001552290905603959,0.001376100909106143,-0.0005152154788628144,138.3424019495671,138.39547353474435,0.10976181035441022
2019,6,0.0014230844873792357,0.0015581553620934207,0.001385479924010577,-0.000528488637848571,138.32514715405378,138.34806798461224,0.06542207745221418
2019,7,0.0014349634057456173,0.001551449841293781,0.0013984526484134693,-0.0005691308684075832,138.31517853240996,138.38065552332972,0.1257392921527448
